,freq_band,label_1,label_2,group,connection_strength
3,gamma,frontalpole-rh,superiorfrontal-rh,control,0.018818975175607947
4,gamma,frontalpole-rh,superiorfrontal-rh,control,0.014035276068226044
5,gamma,frontalpole-rh,superiorfrontal-rh,control,0.021284404676281468
6,gamma,frontalpole-rh,superiorfrontal-rh,control,0.01780622656675552
7,gamma,frontalpole-rh,superiorfrontal-rh,control,0.020889909813901698
8,gamma,frontalpole-rh,superiorfrontal-rh,control,0.018156615247429137
9,gamma,frontalpole-rh,superiorfrontal-rh,control,0.014545220222127305
10,gamma,frontalpole-rh,superiorfrontal-rh,control,0.01265896009754647
11,gamma,frontalpole-rh,superiorfrontal-rh,control,0.023115058583913568
12,gamma,frontalpole-rh,superiorfrontal-rh,control,0.023418044246751927
13,gamma,frontalpole-rh,superiorfrontal-rh,control,0.025541991787930925
14,gamma,frontalpole-rh,superiorfrontal-rh,control,0.02249409890672237
15,gamma,frontalpole-rh,superiorfrontal-rh,control,0.021058287598140234
16,gamma,frontalpole-rh,superiorfrontal-rh,control,0.02209953780041743
17,gamma,frontalpole-rh,superiorfrontal-rh,control,0.01726716392731089
18,gamma,frontalpole-rh,superiorfrontal-rh,control,0.016917233680228974
19,gamma,frontalpole-rh,superiorfrontal-rh,control,0.016274118563178452
20,gamma,frontalpole-rh,superiorfrontal-rh,control,0.014529277827586274
21,gamma,frontalpole-rh,superiorfrontal-rh,control,0.02274558003378822
22,gamma,frontalpole-rh,superiorfrontal-rh,control,0.021050911482602973
23,gamma,frontalpole-rh,superiorfrontal-rh,case,0.007658005843014398
24,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
25,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
26,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
27,gamma,frontalpole-rh,superiorfrontal-rh,case,0.003205403447632845
28,gamma,frontalpole-rh,superiorfrontal-rh,case,0.013992462435087609
29,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0022089158321011906
30,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
31,gamma,frontalpole-rh,superiorfrontal-rh,case,0.012197690961691375
32,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
33,gamma,frontalpole-rh,superiorfrontal-rh,case,0.01512644358761328
34,gamma,frontalpole-rh,superiorfrontal-rh,case,0.007580888266726833
35,gamma,frontalpole-rh,superiorfrontal-rh,case,0.023118265052405263
36,gamma,frontalpole-rh,superiorfrontal-rh,case,0.019797900437937638
37,gamma,frontalpole-rh,superiorfrontal-rh,case,0.01906615722604031
38,gamma,frontalpole-rh,superiorfrontal-rh,case,0.012014499811586319
39,gamma,frontalpole-rh,superiorfrontal-rh,case,0.013257977701606851
40,gamma,frontalpole-rh,superiorfrontal-rh,case,0.011054206904545333
